id,section,value,claim,evidence_type,context_note,publisher,publication_date,research_period,geography,sample_size,source_url,source_type
AM011,small-business,17.4%,Small firms across covered OECD countries that reported using AI in 2025.,observed adoption,Coverage is limited to countries with available data. Definitions and business-size thresholds can vary by national source.,OECD,2026-01-28,2025,OECD countries where data were available,National business ICT surveys compiled in the OECD ICT Access and Usage Database; n varies by country,https://www.oecd.org/en/about/news/announcements/2026/01/ai-use-by-individuals-surges-across-the-oecd-as-adoption-by-firms-continues-to-expand.html,Official intergovernmental statistics
AM012,small-business,52.0%,Large firms across covered OECD countries that reported using AI in 2025.,observed adoption,"This is a size comparison, not evidence that firm size alone causes adoption.",OECD,2026-01-28,2025,OECD countries where data were available,National business ICT surveys compiled in the OECD ICT Access and Usage Database; n varies by country,https://www.oecd.org/en/about/news/announcements/2026/01/ai-use-by-individuals-surges-across-the-oecd-as-adoption-by-firms-continues-to-expand.html,Official intergovernmental statistics
AM013,small-business,24%,US small-business owners who said they currently use AI technologies for business activity.,observed adoption,"The sample is drawn from NFIB members, and several AI-use findings apply only to the smaller subset of current users.",NFIB Research Center,2025-06,2025; exact field dates not stated in the report text,United States,"521 employer responses overall; AI-use questions use smaller bases, including n=118, n=119, and n=110",https://www.nfib.com/wp-content/uploads/2025/06/2025-NFIB-Technology-Survey.pdf,Original small-business association survey
AM014,small-business,75%,Nonusers who said they did not plan to use AI for business purposes in the next 12 months.,stated intention,"The base is respondents not currently using AI, n=385 for the table containing this question.",NFIB Research Center,2025-06,2025; exact field dates not stated in the report text,United States,"521 employer responses overall; AI-use questions use smaller bases, including n=118, n=119, and n=110",https://www.nfib.com/wp-content/uploads/2025/06/2025-NFIB-Technology-Survey.pdf,Original small-business association survey
AM015,small-business,27%,Current small-business AI users who used or planned to use AI for marketing or advertising.,observed adoption,"The use-case table has n=118, much smaller than the overall sample.",NFIB Research Center,2025-06,2025; exact field dates not stated in the report text,United States,"521 employer responses overall; AI-use questions use smaller bases, including n=118, n=119, and n=110",https://www.nfib.com/wp-content/uploads/2025/06/2025-NFIB-Technology-Survey.pdf,Original small-business association survey
AM016,content-and-campaigns,29%,"Current small-business AI users who used or planned to use AI for communications such as email, memos, or documents.",observed adoption,"The use-case table has n=118, much smaller than the overall sample.",NFIB Research Center,2025-06,2025; exact field dates not stated in the report text,United States,"521 employer responses overall; AI-use questions use smaller bases, including n=118, n=119, and n=110",https://www.nfib.com/wp-content/uploads/2025/06/2025-NFIB-Technology-Survey.pdf,Original small-business association survey
AM017,measured-outcomes,30%,Current small-business AI users reporting increased productivity.,self-reported outcome,The impact table has n=110 and does not establish causation.,NFIB Research Center,2025-06,2025; exact field dates not stated in the report text,United States,"521 employer responses overall; AI-use questions use smaller bases, including n=118, n=119, and n=110",https://www.nfib.com/wp-content/uploads/2025/06/2025-NFIB-Technology-Survey.pdf,Original small-business association survey
AM018,measured-outcomes,23%,Current small-business AI users reporting improved product or service quality.,self-reported outcome,The impact table has n=110 and does not establish causation.,NFIB Research Center,2025-06,2025; exact field dates not stated in the report text,United States,"521 employer responses overall; AI-use questions use smaller bases, including n=118, n=119, and n=110",https://www.nfib.com/wp-content/uploads/2025/06/2025-NFIB-Technology-Survey.pdf,Original small-business association survey
AM019,measured-outcomes,8%,Current small-business AI users reporting lower operating costs.,self-reported outcome,The impact table has n=110 and does not establish causation.,NFIB Research Center,2025-06,2025; exact field dates not stated in the report text,United States,"521 employer responses overall; AI-use questions use smaller bases, including n=118, n=119, and n=110",https://www.nfib.com/wp-content/uploads/2025/06/2025-NFIB-Technology-Survey.pdf,Original small-business association survey
AM020,human-review,98%,Current small-business AI users reporting no change in employee count.,self-reported outcome,The employment table has n=119. This does not predict future workforce effects.,NFIB Research Center,2025-06,2025; exact field dates not stated in the report text,United States,"521 employer responses overall; AI-use questions use smaller bases, including n=118, n=119, and n=110",https://www.nfib.com/wp-content/uploads/2025/06/2025-NFIB-Technology-Survey.pdf,Original small-business association survey
AM021,small-business,87%,"US SMB respondents reported as adopting AI in marketing by April 2026, up from 26% in 2023.",observed adoption,The release does not publish the full question wording. The broad marketing adoption measure should not be compared directly with NFIB current business use.,Constant Contact,2026-06-10,Q2 2026; US adoption figure measured by April 2026,"United States, United Kingdom, Canada, Australia and New Zealand","3,340 SMB respondents and 2,255 consumer respondents",https://news.constantcontact.com/2026-06-10-The-Rise-of-the-SMB-Creator-How-Small-Businesses-are-Leveraging-Social-Media-and-AI-to-Capture-Consumer-Attention,Original vendor-commissioned SMB and consumer survey
AM022,measured-outcomes,50%,SMB AI users globally naming time savings as the primary benefit.,self-reported outcome,The publisher sells marketing technology. The release uses a broad SMB marketing AI adoption measure that is not directly comparable with the NFIB business-use question.,Constant Contact,2026-06-10,Q2 2026; US adoption figure measured by April 2026,"United States, United Kingdom, Canada, Australia and New Zealand","3,340 SMB respondents and 2,255 consumer respondents",https://news.constantcontact.com/2026-06-10-The-Rise-of-the-SMB-Creator-How-Small-Businesses-are-Leveraging-Social-Media-and-AI-to-Capture-Consumer-Attention,Original vendor-commissioned SMB and consumer survey
AM023,trust-and-governance,46%,Consumers globally who wanted businesses to explicitly label AI-generated content.,consumer preference,The publisher sells marketing technology. The release uses a broad SMB marketing AI adoption measure that is not directly comparable with the NFIB business-use question.,Constant Contact,2026-06-10,Q2 2026; US adoption figure measured by April 2026,"United States, United Kingdom, Canada, Australia and New Zealand","3,340 SMB respondents and 2,255 consumer respondents",https://news.constantcontact.com/2026-06-10-The-Rise-of-the-SMB-Creator-How-Small-Businesses-are-Leveraging-Social-Media-and-AI-to-Capture-Consumer-Attention,Original vendor-commissioned SMB and consumer survey
AM024,trust-and-governance,37%,SMBs globally reported as fully transparent about their AI use.,self-reported practice,The publisher sells marketing technology. The release uses a broad SMB marketing AI adoption measure that is not directly comparable with the NFIB business-use question.,Constant Contact,2026-06-10,Q2 2026; US adoption figure measured by April 2026,"United States, United Kingdom, Canada, Australia and New Zealand","3,340 SMB respondents and 2,255 consumer respondents",https://news.constantcontact.com/2026-06-10-The-Rise-of-the-SMB-Creator-How-Small-Businesses-are-Leveraging-Social-Media-and-AI-to-Capture-Consumer-Attention,Original vendor-commissioned SMB and consumer survey
AM025,marketing-use-cases,95%,B2B marketers saying their organizations use AI-powered applications.,observed adoption,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM026,adoption,68%,B2B marketers describing their organizations as exploratory or developing in AI implementation.,observed adoption,This combines the report's 20% exploratory and 48% developing categories.,Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM027,content-and-campaigns,89%,AI-using B2B marketers using content tools to generate or optimize copy.,observed adoption,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM028,content-and-campaigns,53%,AI-using B2B marketers using tools to generate or edit creative assets.,observed adoption,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM029,content-and-campaigns,41%,AI-using B2B marketers using AI-powered SEO tools.,observed adoption,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM030,content-and-campaigns,38%,AI-using B2B marketers using AI-powered social media tools.,observed adoption,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM031,crm-leads-follow-up,36%,AI-using B2B marketers using AI-powered email marketing tools.,observed adoption,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM032,measured-outcomes,80%,B2B marketers reporting improved operational efficiency from AI.,self-reported outcome,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM033,measured-outcomes,58%,B2B marketers reporting improved content quality from AI.,self-reported outcome,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM034,barriers-and-limits,12%,B2B marketers reporting that content quality decreased with AI.,self-reported outcome,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM035,budgets-and-investment,45%,B2B marketers who put AI-powered marketing tools among their top three areas for increased 2026 investment.,stated investment plan,"Results are self-reported. The research was sponsored by a marketing technology company, and the B2B sample was mostly North American.",Content Marketing Institute and MarketingProfs,2025-10,"June 24 to August 14, 2025","Global, mostly North America","1,015 B2B marketers from 1,229 global responses",https://contentmarketinginstitute.com/b2b-research/b2b-content-marketing-trends-research,Original industry survey
AM036,measured-outcomes,70%,Organizations reporting that personalization performance somewhat or significantly improved over the prior three years.,self-reported outcome,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM037,crm-leads-follow-up,64%,Organizations reporting that lead generation performance somewhat or significantly improved over the prior three years.,self-reported outcome,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM038,measured-outcomes,59%,Organizations reporting that customer retention performance somewhat or significantly improved over the prior three years.,self-reported outcome,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM039,adoption,16%,Organizations that had embedded agentic AI organization-wide for customer support.,scaled deployment,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM040,adoption,13%,Organizations that had embedded agentic AI organization-wide for brand discovery and search.,scaled deployment,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM041,trust-and-governance,One-third,Customers who said they would disengage after discovering content was AI-generated.,consumer stated response,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM042,trust-and-governance,37%,Customers who said they would disengage after learning they were interacting with AI when expecting a person.,consumer stated response,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM043,human-review,68%,Organizations ranking clear disclosure of AI interactions among the most important factors for building trust in agentic AI.,organizational priority,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM044,human-review,61%,Organizations ranking easy escalation to human support among the most important trust factors for agentic AI.,organizational priority,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM045,barriers-and-limits,44%,Organizations with a measurement framework implemented for generative AI.,observed governance practice,Business results are self-reported by executives and CX practitioners at organizations with at least $250 million in revenue. Customer results are a separate sample.,Adobe and Oxford Economics,2026; exact day not stated on the main report page,October to November 2025,"North America, Latin America, Europe, APAC and the Middle East","3,000 executives and CX practitioners plus 4,000 customers",https://business.adobe.com/resources/digital-trends-report.html,Original global business and consumer survey
AM046,adoption,83%,US ad executives saying their company had deployed AI in the creative process.,observed adoption,The executive sample is small and limited to companies spending at least $1 million annually on media. Consumer findings cover Gen Z and Millennials only.,IAB and Sonata Insights,2026; exact day not stated on the report page,October 2025 to January 2026,United States,505 Gen Z and Millennial consumers plus 104 ad industry executives,https://www.iab.com/insights/the-ai-gap-widens,Original advertising industry and consumer survey
AM047,content-and-campaigns,85%,Ad executives whose companies used AI for social-media ads.,observed adoption,The executive sample is small and limited to companies spending at least $1 million annually on media. Consumer findings cover Gen Z and Millennials only.,IAB and Sonata Insights,2026; exact day not stated on the report page,October 2025 to January 2026,United States,505 Gen Z and Millennial consumers plus 104 ad industry executives,https://www.iab.com/insights/the-ai-gap-widens,Original advertising industry and consumer survey
AM048,content-and-campaigns,73%,Ad executives whose companies used AI for display ads.,observed adoption,The executive sample is small and limited to companies spending at least $1 million annually on media. Consumer findings cover Gen Z and Millennials only.,IAB and Sonata Insights,2026; exact day not stated on the report page,October 2025 to January 2026,United States,505 Gen Z and Millennial consumers plus 104 ad industry executives,https://www.iab.com/insights/the-ai-gap-widens,Original advertising industry and consumer survey
AM049,trust-and-governance,82% vs 45%,"Ad executives who believed young consumers felt positive about AI-generated ads, compared with the share of surveyed consumers who actually reported positive sentiment.",perception gap,"This is a 37-point perception gap across two survey groups, not a causal result.",IAB and Sonata Insights,2026; exact day not stated on the report page,October 2025 to January 2026,United States,505 Gen Z and Millennial consumers plus 104 ad industry executives,https://www.iab.com/insights/the-ai-gap-widens,Original advertising industry and consumer survey
AM050,trust-and-governance,39% vs 20%,"Gen Z consumers reporting negative sentiment toward AI-generated ads, compared with Millennials.",consumer sentiment,The executive sample is small and limited to companies spending at least $1 million annually on media. Consumer findings cover Gen Z and Millennials only.,IAB and Sonata Insights,2026; exact day not stated on the report page,October 2025 to January 2026,United States,505 Gen Z and Millennial consumers plus 104 ad industry executives,https://www.iab.com/insights/the-ai-gap-widens,Original advertising industry and consumer survey
AM051,trust-and-governance,73%,Gen Z and Millennial consumers saying AI disclosure would increase or make no difference to purchase likelihood.,stated purchase response,This combines two response categories and does not mean disclosure increases purchases for 73%.,IAB and Sonata Insights,2026; exact day not stated on the report page,October 2025 to January 2026,United States,505 Gen Z and Millennial consumers plus 104 ad industry executives,https://www.iab.com/insights/the-ai-gap-widens,Original advertising industry and consumer survey
AM052,adoption,88%,Respondents saying their organizations regularly used AI in at least one business function.,observed adoption,Results are self-reported and weighted by national GDP. Organization-wide AI use is broader than marketing use.,"McKinsey & Company, QuantumBlack",2025-11,"June 25 to July 29, 2025",105 nations,"1,993 survey participants",https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-2025,Original global executive and practitioner survey
AM053,adoption,23%,Respondents saying their organizations were scaling an agentic AI system somewhere in the enterprise.,scaled deployment,Results are self-reported and weighted by national GDP. Organization-wide AI use is broader than marketing use.,"McKinsey & Company, QuantumBlack",2025-11,"June 25 to July 29, 2025",105 nations,"1,993 survey participants",https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-2025,Original global executive and practitioner survey
AM054,adoption,39%,Respondents saying their organizations had begun experimenting with AI agents.,experimentation,Results are self-reported and weighted by national GDP. Organization-wide AI use is broader than marketing use.,"McKinsey & Company, QuantumBlack",2025-11,"June 25 to July 29, 2025",105 nations,"1,993 survey participants",https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-2025,Original global executive and practitioner survey
AM055,adoption,One-third,Respondents saying their organizations were scaling AI programs across the organization.,scaled deployment,The report describes this as roughly one-third and shows larger companies scaling more often.,"McKinsey & Company, QuantumBlack",2025-11,"June 25 to July 29, 2025",105 nations,"1,993 survey participants",https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-2025,Original global executive and practitioner survey
AM056,marketing-use-cases,86.4%,Marketing teams saying they use AI in at least a few marketing areas.,observed adoption,"Results are self-reported, and the public page does not disclose detailed sampling or field dates. Extensive and occasional use are separate response categories.",HubSpot,2026; exact day not stated on the report page,Not stated on the public report page,Global,"More than 1,500 B2B and B2C marketers",https://blog.hubspot.com/marketing/hubspot-blog-marketing-industry-trends-report,Original vendor marketing survey
AM057,content-and-campaigns,42.5% + 38%,"Marketers using AI extensively or occasionally for content creation, respectively.",observed adoption,The two values are separate response categories and should not be presented as a single 80.5% estimate without the full questionnaire.,HubSpot,2026; exact day not stated on the report page,Not stated on the public report page,Global,"More than 1,500 B2B and B2C marketers",https://blog.hubspot.com/marketing/hubspot-blog-marketing-industry-trends-report,Original vendor marketing survey
AM058,content-and-campaigns,34.1% + 36.5%,"Marketers using AI extensively or occasionally for advertising automation and optimization, respectively.",observed adoption,The two values are separate response categories and should not be presented as a single 70.6% estimate without the full questionnaire.,HubSpot,2026; exact day not stated on the report page,Not stated on the public report page,Global,"More than 1,500 B2B and B2C marketers",https://blog.hubspot.com/marketing/hubspot-blog-marketing-industry-trends-report,Original vendor marketing survey
AM059,human-review,73.4%,Marketers who saw AI working with marketers and assisting with most job duties.,respondent opinion,"Results are self-reported, and the public page does not disclose detailed sampling or field dates. Extensive and occasional use are separate response categories.",HubSpot,2026; exact day not stated on the report page,Not stated on the public report page,Global,"More than 1,500 B2B and B2C marketers",https://blog.hubspot.com/marketing/hubspot-blog-marketing-industry-trends-report,Original vendor marketing survey
AM060,human-review,62.7%,"Marketers who believed more unique, human-centered content is needed to compete with AI content.",respondent opinion,"Results are self-reported, and the public page does not disclose detailed sampling or field dates. Extensive and occasional use are separate response categories.",HubSpot,2026; exact day not stated on the report page,Not stated on the public report page,Global,"More than 1,500 B2B and B2C marketers",https://blog.hubspot.com/marketing/hubspot-blog-marketing-industry-trends-report,Original vendor marketing survey
